NFT_name,price,status
CryptoPunk #1483,6138.8,Lowest
CryptoPunk #1484,4.41805,Highest
CryptoPunk #1484,4.41805,Lowest
CryptoPunk #1486,58.59,Highest
CryptoPunk #1486,58.59,Lowest
CryptoPunk #1489,77407.4433,Highest
CryptoPunk #1489,16520.229,Lowest
CryptoPunk #1490,45298.2,Highest
CryptoPunk #1490,2602.0625,Lowest
CryptoPunk #1492,0,Highest
CryptoPunk #1492,0,Lowest
CryptoPunk #1495,94409.84,Highest
CryptoPunk #1495,46930.143,Lowest
CryptoPunk #1499,536119.703,Highest
CryptoPunk #1499,536119.703,Lowest
CryptoPunk #150,460223.688,Highest
CryptoPunk #150,384145.92,Lowest
CryptoPunk #1501,71504.1,Highest
CryptoPunk #1501,71504.1,Lowest
CryptoPunk #1502,44520.41,Highest
CryptoPunk #1502,5442.75,Lowest
CryptoPunk #1503,69.0925,Highest
CryptoPunk #1503,69.0925,Lowest
CryptoPunk #1504,150835.032,Highest
CryptoPunk #1504,69391.2324,Lowest
CryptoPunk #1505,69.0925,Highest
CryptoPunk #1505,69.0925,Lowest
CryptoPunk #1506,37019.481,Highest
CryptoPunk #1506,37019.481,Lowest
CryptoPunk #1507,246388,Highest
CryptoPunk #1507,89.2866,Lowest
CryptoPunk #1508,55557,Highest
CryptoPunk #1508,55557,Lowest
CryptoPunk #1509,135.9456,Highest
CryptoPunk #1509,113.1325,Lowest
CryptoPunk #1510,23506.4599,Highest
CryptoPunk #1510,12344.7,Lowest
CryptoPunk #1512,93.86019,Highest
CryptoPunk #1512,55.503,Lowest
CryptoPunk #1513,116585.6782,Highest
CryptoPunk #1513,84481.67,Lowest
CryptoPunk #1514,417515.85,Highest
CryptoPunk #1514,180706.2,Lowest
CryptoPunk #1516,96274.52,Highest
CryptoPunk #1516,17449.782,Lowest
CryptoPunk #1517,111475.76,Highest
CryptoPunk #1517,51088.4,Lowest
CryptoPunk #1518,3343.4625,Highest
CryptoPunk #1518,3343.4625,Lowest
CryptoPunk #1519,175.5347,Highest
CryptoPunk #1519,56.0025,Lowest
CryptoPunk #1520,370914.4,Highest
CryptoPunk #1520,0,Lowest
CryptoPunk #1521,48277.6452,Highest
CryptoPunk #1521,8147.502,Lowest
CryptoPunk #1522,9591,Highest
CryptoPunk #1522,64.75,Lowest
CryptoPunk #1523,399684.6,Highest
CryptoPunk #1523,240506.65,Lowest
CryptoPunk #1524,2757.524,Highest
CryptoPunk #1524,1743.0228,Lowest
CryptoPunk #1525,317094,Highest
CryptoPunk #1525,317094,Lowest
CryptoPunk #1527,71403.2424,Highest
CryptoPunk #1527,41034.53,Lowest
CryptoPunk #1528,87682.6,Highest
CryptoPunk #1528,87682.6,Lowest
CryptoPunk #1529,4786.5552,Highest
CryptoPunk #1529,4786.5552,Lowest
CryptoPunk #1530,91.2605,Highest
CryptoPunk #1530,91.2605,Lowest
CryptoPunk #1532,435165.3,Highest
CryptoPunk #1532,5252.3,Lowest
CryptoPunk #1533,462319.767,Highest
CryptoPunk #1533,2280.2625,Lowest
CryptoPunk #1535,70823.5179,Highest
CryptoPunk #1535,40617.8124,Lowest
CryptoPunk #1537,285.02,Highest
CryptoPunk #1537,24.707,Lowest
CryptoPunk #1538,90.57699,Highest
CryptoPunk #1538,90.57699,Lowest
CryptoPunk #1539,70.5775,Highest
CryptoPunk #1539,34.56,Lowest
CryptoPunk #1540,0,Highest
CryptoPunk #1540,0,Lowest
CryptoPunk #1541,457129.55,Highest
CryptoPunk #1541,457129.55,Lowest
CryptoPunk #1546,42321.74,Highest
CryptoPunk #1546,27339.605,Lowest
CryptoPunk #1548,35957.2638,Highest
CryptoPunk #1548,433.575,Lowest
CryptoPunk #155,34500,Highest
CryptoPunk #155,2682.82,Lowest
CryptoPunk #1552,43318.743,Highest
CryptoPunk #1552,35594.325,Lowest
CryptoPunk #1555,29.10418733,Highest
CryptoPunk #1555,22.165,Lowest
CryptoPunk #1556,474180.12,Highest
CryptoPunk #1556,64639.8,Lowest
CryptoPunk #1557,289168.385,Highest
CryptoPunk #1557,0,Lowest
CryptoPunk #1558,44553.5,Highest
CryptoPunk #1558,45.267,Lowest
CryptoPunk #1559,728424.4,Highest
CryptoPunk #1559,728424.4,Lowest
CryptoPunk #1560,98.11135,Highest
CryptoPunk #1560,98.11135,Lowest
CryptoPunk #1561,51741.1944,Highest
CryptoPunk #1561,31480.1526,Lowest
CryptoPunk #1563,57179.4453,Highest
CryptoPunk #1563,57179.4453,Lowest
CryptoPunk #1564,60950.265,Highest
CryptoPunk #1564,47682.677,Lowest
CryptoPunk #1565,146.365,Highest
CryptoPunk #1565,0,Lowest
CryptoPunk #1566,45935.76,Highest
CryptoPunk #1566,22788.74,Lowest
CryptoPunk #1570,453714,Highest
CryptoPunk #1570,453714,Lowest
CryptoPunk #1573,65771.4,Highest
CryptoPunk #1573,65771.4,Lowest
CryptoPunk #1575,219687.0651,Highest
CryptoPunk #1575,143.6078,Lowest
CryptoPunk #1580,257380,Highest
CryptoPunk #1580,127.877,Lowest
CryptoPunk #1581,152.38,Highest
CryptoPunk #1581,85.1238,Lowest
CryptoPunk #1584,25.9875,Highest
CryptoPunk #1584,25.9875,Lowest
CryptoPunk #1585,58060.75,Highest
CryptoPunk #1585,25.71941368,Lowest
CryptoPunk #1586,43859.92,Highest
CryptoPunk #1586,116.1009,Lowest
CryptoPunk #1587,125393.1,Highest
CryptoPunk #1587,44445.6,Lowest
CryptoPunk #1588,578326.25,Highest
CryptoPunk #1588,46938.9796,Lowest
CryptoPunk #1589,47152.56,Highest
CryptoPunk #1589,45.267,Lowest
CryptoPunk #1590,735.88,Highest
CryptoPunk #1590,138.601,Lowest
CryptoPunk #1592,45904.68,Highest
CryptoPunk #1592,25.2256,Lowest
CryptoPunk #1594,10078.56,Highest
CryptoPunk #1594,10078.56,Lowest
CryptoPunk #1595,67905.0603,Highest
CryptoPunk #1595,67905.0603,Lowest
CryptoPunk #1597,55195.2324,Highest
CryptoPunk #1597,55195.2324,Lowest
CryptoPunk #160,123605.54,Highest
CryptoPunk #160,58189.2,Lowest
CryptoPunk #1602,296900.16,Highest
CryptoPunk #1602,296900.16,Lowest
CryptoPunk #1605,280047.4,Highest
CryptoPunk #1605,0,Lowest
