NFTnames,average_price
"CryptoPunk #5874",356752.33999999997
"CryptoPunk #3209",356555.1
"CryptoPunk #7456",356237.29500000004
"CryptoPunk #1043",356236.2892
"CryptoPunk #7023",354856.602225
"CryptoPunk #7090",354067.15
"CryptoPunk #2484",352535.74257500004
"CryptoPunk #312",352362.8585
"CryptoPunk #4967",352228.3494
"CryptoPunk #5982",352080.5234
"CryptoPunk #9749",352063.2275683333
"CryptoPunk #2271",351767.0603
"CryptoPunk #6473",350936.4475
"CryptoPunk #4185",350869.2
"CryptoPunk #4768",350677.8
"CryptoPunk #573",348424.54480000003
"CryptoPunk #7677",348003.45775
"CryptoPunk #3838",347749.45
"CryptoPunk #5486",347090.71724
"CryptoPunk #2310",346200.88592857134
"CryptoPunk #5208",346096.7745
"CryptoPunk #9835",345600.7506
"CryptoPunk #9277",345527.3375
"CryptoPunk #8645",344967.03650000005
"CryptoPunk #5054",344704.74
"CryptoPunk #1173",344127.3005
"CryptoPunk #3583",344006.61024999997
"CryptoPunk #2349",343908.6
"CryptoPunk #9049",343197.36
"CryptoPunk #3557",342879.03
"CryptoPunk #5427",342397.0806124999
"CryptoPunk #6078",341965.2
"CryptoPunk #4199",341819.85
"CryptoPunk #5964",341767.65119999996
"CryptoPunk #9212",341534.52
"CryptoPunk #340",341491.1275
"CryptoPunk #6449",341425.89285
"CryptoPunk #9542",340677.36
"CryptoPunk #9359",340600.5268
"CryptoPunk #3517",340596.6757
"CryptoPunk #4354",340588.75
"CryptoPunk #9223",340385.33499999996
"CryptoPunk #4093",340348.05
"CryptoPunk #4573",340222.41
"CryptoPunk #1985",340198.1
"CryptoPunk #8360",340198.1
"CryptoPunk #9059",339966.62999999995
"CryptoPunk #5942",339610.58755
"CryptoPunk #1279",339496.1877
"CryptoPunk #263",339290.58
"CryptoPunk #2473",339223.91533333337
"CryptoPunk #6751",339064.26866666664
"CryptoPunk #3866",337612.59615
"CryptoPunk #1091",336869.86226666666
"CryptoPunk #2277",336676.8
"CryptoPunk #1997",336188.1666666667
"CryptoPunk #8299",335554.10582500004
"CryptoPunk #3970",335551.843625
"CryptoPunk #6460",335403.11495
"CryptoPunk #9843",335242.2133333333
"CryptoPunk #2224",335107.28455
"CryptoPunk #7492",334920.57333333336
"CryptoPunk #1886",334342.6185
"CryptoPunk #4731",332961.211
"CryptoPunk #203",332884.40877499996
"CryptoPunk #7243",332309.653599635
"CryptoPunk #3969",332302.31813333335
"CryptoPunk #5443",331881.7765
"CryptoPunk #339",331622.43914000003
"CryptoPunk #8598",331565.0038333333
"CryptoPunk #2446",331497.45
"CryptoPunk #6971",331171.64949999994
"CryptoPunk #5656",330522.58999999997
"CryptoPunk #8131",329091.2
"CryptoPunk #2367",328918.15349999996
"CryptoPunk #8296",328263.375
"CryptoPunk #5103",327893.6
"CryptoPunk #7059",327532
"CryptoPunk #596",327437.08176666667
"CryptoPunk #9530",326543.5727333334
"CryptoPunk #3012",326025.3373
"CryptoPunk #1027",325784.9989333333
"CryptoPunk #8261",325727.27
"CryptoPunk #5092",325691.11
"CryptoPunk #3469",325355.975
"CryptoPunk #924",325092.3090666667
"CryptoPunk #9080",324734.55
"CryptoPunk #4114",324703.8825
"CryptoPunk #857",324383.725
"CryptoPunk #9284",324240.09766666667
"CryptoPunk #5827",323390.479
"CryptoPunk #2167",322017.23
"CryptoPunk #1476",321987.38905999996
"CryptoPunk #6305",321934.0425
"CryptoPunk #6349",321645.794375
"CryptoPunk #4529",321371.24537500006
"CryptoPunk #5055",320922.35589999997
"CryptoPunk #5373",320899.59
"CryptoPunk #618",320618.2811166667
"CryptoPunk #1523",320095.625
"CryptoPunk #9911",319977.6261
"CryptoPunk #5527",319622.49
"CryptoPunk #9478",319345.77015
"CryptoPunk #5835",319321.31
"CryptoPunk #920",319024.92682
"CryptoPunk #1267",318716.1149333333
"CryptoPunk #6109",318440.14
"CryptoPunk #2261",318322.75633333327
"CryptoPunk #8770",318130.68776
"CryptoPunk #1525",317094
"CryptoPunk #4235",316528.82
"CryptoPunk #6181",316317.81
"CryptoPunk #342",316011.8812666667
"CryptoPunk #6138",315825.66
"CryptoPunk #6464",315151.9681333333
"CryptoPunk #5893",315065.075
"CryptoPunk #877",315006.0226666667
"CryptoPunk #9595",314266.954
"CryptoPunk #5037",313457.0925
"CryptoPunk #2726",312998.6863
"CryptoPunk #5383",312935.35875
"CryptoPunk #8156",312771
"CryptoPunk #2616",312539.5028
"CryptoPunk #9943",312373.52125
"CryptoPunk #8165",311759.8584
"CryptoPunk #690",310189.5484
"CryptoPunk #6633",310162.63485
"CryptoPunk #3362",310134.2833333333
"CryptoPunk #9893",309812.67299999995
"CryptoPunk #8182",308206.21
"CryptoPunk #7697",307933.95
"CryptoPunk #7946",307718.60599999997
"CryptoPunk #6198",307579.085
"CryptoPunk #8814",307542.1469333333
"CryptoPunk #7425",307111.5856
"CryptoPunk #3258",307017.13005
"CryptoPunk #9246",306835.06
"CryptoPunk #4368",306542.4373
"CryptoPunk #3855",306415.9999333333
"CryptoPunk #6635",306305.3486833333
"CryptoPunk #7963",306193.2902
"CryptoPunk #1446",305349.79524
"CryptoPunk #4926",305248.94333333336
"CryptoPunk #7273",305220.76
"CryptoPunk #4076",304573.34125
"CryptoPunk #5069",304414.37876666663
"CryptoPunk #2619",304183.07827999996
"CryptoPunk #2179",304024.8
"CryptoPunk #1439",303129.68
"CryptoPunk #4022",303121.90863333334
"CryptoPunk #9797",302992.7987
"CryptoPunk #1405",302678.23205
"CryptoPunk #9543",302302.68965
"CryptoPunk #8176",302050.9005666667
"CryptoPunk #1711",301933.74764
"CryptoPunk #9641",301530.6187
"CryptoPunk #2006",300470.25324
"CryptoPunk #9580",300424.9959999999
"CryptoPunk #6967",300284.5538
"CryptoPunk #4296",299992.87
"CryptoPunk #1666",299961.9429
"CryptoPunk #9951",299720.50206666667
"CryptoPunk #6288",299454.76868000004
"CryptoPunk #8599",299296.789
"CryptoPunk #1514",299111.025
"CryptoPunk #4194",298356.94673333335
"CryptoPunk #1623",298138.2084666667
"CryptoPunk #2551",297775.8861
"CryptoPunk #9456",297752.53833333333
"CryptoPunk #8537",297450.5677
"CryptoPunk #9043",297432.105
"CryptoPunk #2182",296941.86706666666
"CryptoPunk #1602",296900.16
"CryptoPunk #1532",296856.27425
"CryptoPunk #2683",296787.952
"CryptoPunk #3697",296626.673
"CryptoPunk #385",296626.02266666666
"CryptoPunk #5422",296393.3433333333
"CryptoPunk #769",296009.9569857143
"CryptoPunk #9774",295665.6
"CryptoPunk #2886",295665.6
"CryptoPunk #3464",295496.10205
"CryptoPunk #1961",294803.77999999997
"CryptoPunk #7110",293873.55
"CryptoPunk #5183",293825.47949999996
"CryptoPunk #1980",293807.45
"CryptoPunk #8147",293807.45
"CryptoPunk #9215",293776.5229
"CryptoPunk #5663",293776.5229
"CryptoPunk #6033",293224.82763333333
"CryptoPunk #6791",292297.31552000006
"CryptoPunk #7648",291954.29000000004
"CryptoPunk #7948",291753.0257
"CryptoPunk #5547",291530.54520000005
"CryptoPunk #1186",290678.9466666667
"CryptoPunk #2045",290077.55365
"CryptoPunk #1979",289972.1
"CryptoPunk #9610",289852.888
"CryptoPunk #8010",289759.62
"CryptoPunk #1319",289654.836
"CryptoPunk #3239",288982.95785
"CryptoPunk #642",288894.4214666667
"CryptoPunk #5260",288434.80097499996
"CryptoPunk #5725",288251.09173333336
"CryptoPunk #1139",287340.47568333335
"CryptoPunk #6645",286734.14288888895
"CryptoPunk #7656",286700.2424
"CryptoPunk #8714",286075.675
"CryptoPunk #962",285867.7437
"CryptoPunk #2639",285691.22
"CryptoPunk #8263",285434.8206
"CryptoPunk #2552",285426.2059
"CryptoPunk #3825",284368.626
"CryptoPunk #9079",284139.34500000003
"CryptoPunk #6833",283628.7456
"CryptoPunk #3980",282894.3674
"CryptoPunk #6612",282831.72000000003
"CryptoPunk #5779",282796.2538
"CryptoPunk #8585",282070.4694
"CryptoPunk #8484",281902.9584
"CryptoPunk #7553",281451.5283333333
"CryptoPunk #6860",281359.29225
"CryptoPunk #4361",280669.18333333335
"CryptoPunk #6224",280613.1282
"CryptoPunk #5857",280482.3372
"CryptoPunk #7233",280133.1907
"CryptoPunk #3308",280007.65
