buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,174,569905.68,0x7fc4ad90afac24a39c9decab37f8fd52da363684,28/08/2021,3994,0xae2fe4120cdd29ce9274d7c1557c3db3f9a5da9c57892e950b80a697b1dee361,CryptoPunk #3994
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,135,442168.2,0xa51579520e5660653082e4cce7fa24ad056bddca,28/08/2021,4599,0xd5022c11ee6e9a509a2e16da342a04ed3de834b97056af553c8e05f937927924,CryptoPunk #4599
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,180,589557.6,0xbd33b53b6394d72145250900d3c64518679591d8,28/08/2021,4901,0x7fea8d595b12ae8b064ed4f63dcfb2fbff210d113373ff8eddd5f39dd8509912,CryptoPunk #4901
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,115,376661.8,0x190378d08d82b3dda38f14a2de5eaa405397c660,28/08/2021,6676,0xd98f4f4c745be9353d654db2ec1d36131062ff9dec8b5f7e7485a9c647ebf6fb,CryptoPunk #6676
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,108.99,356977.1268,0xa25803ab86a327786bb59395fc0164d826b98298,28/08/2021,8668,0x09b2a180b3cc1bd577d600d707055ed098b0092cf4f239b85a4abfeab099742b,CryptoPunk #8668
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,99.99,327499.2468,0x577ebc5de943e35cdf9ecb5bbe1f7d7cb6c7c647,28/08/2021,6997,0x7171be048b7539fe47823d7d23fe0c216de6898b3df85ccac2f6a04320cc6dc9,CryptoPunk #6997
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,96.69,316690.6908,0x7509cc94d13ff5365cd1159d0cd0599200b16041,28/08/2021,1362,0x177c0aebe9123ffd9d5af6e1aa6e3755a54cb8ab036fc0ceb2dd97eb5f48f8a2,CryptoPunk #1362
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,135,417515.85,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,27/08/2021,6751,0xd934667917c48a7ec6cc466cf6a6542135f997bfe84b9ebc230f4e186d1fc168,CryptoPunk #6751
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,93,287622.03,0x00b278dd68f9d8491795ffaf771120638bef1686,27/08/2021,8695,0x35e7def3b5063b49f1c91ac592ebcf1a44657312494dd8604b493f9510cd8dee,CryptoPunk #8695
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,200,618542,0xc480fb0ebea2591470f571436926785be5ebcd22,27/08/2021,6947,0x46c62a9bc0cf77ea9fccd9632a0425225981587c7769adf5e4cdf6a918eda5af,CryptoPunk #6947
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,91,281436.61,0x4c9da55bf1eae5c5b588fde013ca991288f18b1c,27/08/2021,2976,0xf986bd9289906268945a825378ecfde35f23d20a33ba457de239a281b6ffd4e2,CryptoPunk #2976
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,90,278343.9,0xaaf9c3e74f97c6892c4e8755851328ce508952ae,27/08/2021,7905,0x5519023342071b30604a83e8aad16608d76608a996fa5f8e04aba159f7bdaa38,CryptoPunk #7905
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,81.81,253014.6051,0xde0b9c04571ff7f24c8e6a179a666cd89a1b6be3,27/08/2021,6806,0x3c44a8403feb327a1abe25fc3481272623478f760a6a940ad9382030b05a37f1,CryptoPunk #6806
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,81,261509.31,0x4c02b89566f45f699406b580e33ae31eda1b004f,26/08/2021,2408,0x4ce1618bb7676a6cc8241ba17033f92c3d042e2eec7426fba9928ef7e7f3e1dc,CryptoPunk #2408
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,80,253675.2,0x957f182a6e475c8d89395d9964baf78691d93c2a,25/08/2021,8437,0x9393ce2839a66b5d08a9c720bdbb328535eaf149e93469bf757a1d075a841a66,CryptoPunk #8437
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,81,256846.14,0xd72bb0961368f1a5c566e0ac3afca62affa20f14,25/08/2021,7540,0x664ae8fff2c485761265f717eeac6ca0fcc93b4fbb5d9187044d6d809fef8eef,CryptoPunk #7540
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,81,256846.14,0xb7497b6e98bc9a49d3f5c29b27cce0ee557c8fa3,25/08/2021,5730,0x80c2bdaf10559f9b5d0dde53c4127d3af1b43feb64f9620917c70322119fa5b3,CryptoPunk #5730
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,69,229270.44,0x1593110441ab4c5f2c133f21b0743b2b43e297cb,24/08/2021,4511,0x7c7e790fbf5668e62b2ece8e0c1edd27708f221989da3f0bd93b65f60ecb99f6,CryptoPunk #4511
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,60,194484.6,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,23/08/2021,9798,0xd31ac4bd8cda0b6037969896fa8b7de84291217e2f41090e141e635313d93817,CryptoPunk #9798
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,95,307933.95,0x00b278dd68f9d8491795ffaf771120638bef1686,23/08/2021,3937,0x595ad7e67eecef8dce59bb491c7cc62fddf8c6395e05bb94adc29c479a29f73c,CryptoPunk #3937
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,74,239864.34,0x50664ede715e131f584d3e7eaabd7818bb20a068,23/08/2021,1315,0x988e5c13cf5381cd346f0791d716879f828fff53ce988ec0ffdcda9b6b3024c6,CryptoPunk #1315
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,58,187130.04,0x00b278dd68f9d8491795ffaf771120638bef1686,22/08/2021,1862,0x996411ac899aef5ccc6688858e33fc43edcfe7e1081f82cc34734acedcafdc3f,CryptoPunk #1862
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,53,170998.14,0xe2e58b5bec8f79c7a681c9efbec12b3ece7a76fd,22/08/2021,2713,0x33d17351fad114c124da6e062339cf1f77a1c0184f5be421e6716d5232947398,CryptoPunk #2713
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,52,167771.76,0x186980d30a5b7ee4b81114beff6351c94bc332f8,22/08/2021,5482,0xdb56cdd467242c79e3a5786e539a366db438dc564d61995a9c42dac52951f3f4,CryptoPunk #5482
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,41.5,137407.33,0xad614f3453dc0e763eafd096416076c335e877dc,16/08/2021,4414,0x18e22f2d0dc56cf25b44dfd5be65e4101edae163af97c0e9e8353e3f4d395da2,CryptoPunk #4414
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,42,137193.84,0x22fa8cc33a42320385cbd3690ed60a021891cb32,15/08/2021,138,0x252a35647687ca677dd0f10f431d5270f23b22b73d393aa908042ba51d636084,CryptoPunk #138
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,45,137124.45,0x756b0b3ebb060b606510ff1422528dd1f1a0119e,13/08/2021,5979,0x6c03fbece2e135b2db3c6446ab694701ee8410f3e10d7309f5d7c09fd9e0bcbe,CryptoPunk #5979
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,47,148665.23,0xdce0992e4579a5239ca982ee3bad13faf6df89a5,08/08/2021,9192,0x815701517d82838a6261d948159a65e7bcbdd2c7067c6699f7f8bb532f355966,CryptoPunk #9192
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,74,234068.66,0xc87da5cfaf5543efe3e54326800150beb747563c,08/08/2021,6446,0xbbedc30eed62bffc550a261dd1b92d0f50cc2da665e669f0bb049c28154b5174,CryptoPunk #6446
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,50,144641.5,0xc9f5654e2f1bd05255e2fa048de7d10acdb8c382,07/08/2021,3185,0x5e61cb69201b53c4a1d7393f5ed401bba561856d88f0cf01e40947eeb7686b8e,CryptoPunk #3185
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,43.47,122997.9303,0xd72bb0961368f1a5c566e0ac3afca62affa20f14,06/08/2021,8924,0x56f4813e5fb35d99222349cc00f84b43bfb19e3e3a9eef805cd31e07e96f4356,CryptoPunk #8924
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,46.99,132957.7351,0x5516ef406c91a7654240b541ea4db342764042c2,06/08/2021,2067,0xc4759e067949bf4e3f1ad947702b3d56bf9c6603a3e47450d7b47c4d7f8954af,CryptoPunk #2067
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,59.48,168298.0652,0xf3016b7608acfbec9df4ae1ead36bb5f1bad4ff4,06/08/2021,9767,0xedc532dea1bbf54ffb14fd278eb41c24ea87936df694ff5b844dec5ad56ca213,CryptoPunk #9767
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,53.5,151377.715,0xc8d9a5d8cae035624b22f1583b09cb69b8501c21,06/08/2021,4943,0x55ab994b909bfa118cf7071b1ce5b3842d1ed9a2899fbf76892ac07c879ee2e0,CryptoPunk #4943
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,84.84,240053.9316,0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,06/08/2021,3645,0x1214075454b5fc51d6f12cd9119cb9b7df717bab9425309b35a223788a653b54,CryptoPunk #3645
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,110,311243.9,0x2b18e9c6b073f368c63d6e372380653edd945b42,06/08/2021,7765,0x8c164e67f9036c94e434321a614643a85d90306e1bcce09ca704d1c13ec44398,CryptoPunk #7765
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,50,136235.5,0x96c57241cac6ab27bd4ef973aa26a32af82b0683,05/08/2021,6050,0xe0d8b6a53d61f18404c86b7c8444d250378a101775e59c0566a47c03b6ae482e,CryptoPunk #6050
