event_date,usd_price,daily_average,ten_percent_of_earlier_DA,new_daily_average
06/08/2021,152764.1651,196989.8308,19698.98308,201680.0648
06/08/2021,147133.48,196989.8308,19698.98308,201680.0648
06/08/2021,145690.4401,196989.8308,19698.98308,201680.0648
06/08/2021,157178.1695,196989.8308,19698.98308,201680.0648
06/08/2021,225793.302,196989.8308,19698.98308,201680.0648
06/08/2021,164959.267,196989.8308,19698.98308,201680.0648
06/08/2021,147105.1851,196989.8308,19698.98308,201680.0648
06/08/2021,190481.2668,196989.8308,19698.98308,201680.0648
06/08/2021,217870.73,196989.8308,19698.98308,201680.0648
06/08/2021,160997.981,196989.8308,19698.98308,201680.0648
06/08/2021,160318.9034,196989.8308,19698.98308,201680.0648
06/08/2021,183888.5551,196989.8308,19698.98308,201680.0648
06/08/2021,297068.1551,196989.8308,19698.98308,201680.0648
06/08/2021,282949,196989.8308,19698.98308,201680.0648
06/08/2021,365004.21,196989.8308,19698.98308,201680.0648
06/08/2021,160997.981,196989.8308,19698.98308,201680.0648
06/08/2021,151377.715,196989.8308,19698.98308,201680.0648
06/08/2021,148548.225,196989.8308,19698.98308,201680.0648
06/08/2021,268801.55,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,164110.42,196989.8308,19698.98308,201680.0648
06/08/2021,161252.6351,196989.8308,19698.98308,201680.0648
06/08/2021,160997.981,196989.8308,19698.98308,201680.0648
06/08/2021,158423.1451,196989.8308,19698.98308,201680.0648
06/08/2021,183916.85,196989.8308,19698.98308,201680.0648
06/08/2021,169769.4,196989.8308,19698.98308,201680.0648
06/08/2021,353686.25,196989.8308,19698.98308,201680.0648
06/08/2021,192405.32,196989.8308,19698.98308,201680.0648
06/08/2021,152056.7926,196989.8308,19698.98308,201680.0648
06/08/2021,161280.93,196989.8308,19698.98308,201680.0648
06/08/2021,169769.4,196989.8308,19698.98308,201680.0648
06/08/2021,152028.4977,196989.8308,19698.98308,201680.0648
06/08/2021,158423.1451,196989.8308,19698.98308,201680.0648
06/08/2021,704543.01,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,152707.5753,196989.8308,19698.98308,201680.0648
06/08/2021,452690.1051,196989.8308,19698.98308,201680.0648
06/08/2021,152792.46,196989.8308,19698.98308,201680.0648
06/08/2021,240506.65,196989.8308,19698.98308,201680.0648
06/08/2021,4244235,196989.8308,19698.98308,201680.0648
06/08/2021,152056.7926,196989.8308,19698.98308,201680.0648
06/08/2021,146567.582,196989.8308,19698.98308,201680.0648
06/08/2021,367833.7,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,157036.695,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,367833.7,196989.8308,19698.98308,201680.0648
06/08/2021,149962.97,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,155621.95,196989.8308,19698.98308,201680.0648
06/08/2021,154207.205,196989.8308,19698.98308,201680.0648
06/08/2021,168298.0652,196989.8308,19698.98308,201680.0648
06/08/2021,180974.1804,196989.8308,19698.98308,201680.0648
06/08/2021,132957.7351,196989.8308,19698.98308,201680.0648
06/08/2021,135758.9302,196989.8308,19698.98308,201680.0648
06/08/2021,124469.2651,196989.8308,19698.98308,201680.0648
06/08/2021,146256.3381,196989.8308,19698.98308,201680.0648
06/08/2021,143426.8481,196989.8308,19698.98308,201680.0648
06/08/2021,122997.9303,196989.8308,19698.98308,201680.0648
06/08/2021,137230.265,196989.8308,19698.98308,201680.0648
06/08/2021,125912.305,196989.8308,19698.98308,201680.0648
06/08/2021,268801.55,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,268801.55,196989.8308,19698.98308,201680.0648
06/08/2021,124497.56,196989.8308,19698.98308,201680.0648
06/08/2021,141446.2051,196989.8308,19698.98308,201680.0648
06/08/2021,339538.8,196989.8308,19698.98308,201680.0648
06/08/2021,132024.0034,196989.8308,19698.98308,201680.0648
06/08/2021,130156.54,196989.8308,19698.98308,201680.0648
06/08/2021,135815.52,196989.8308,19698.98308,201680.0648
06/08/2021,179276.4864,196989.8308,19698.98308,201680.0648
06/08/2021,132986.03,196989.8308,19698.98308,201680.0648
06/08/2021,166855.0253,196989.8308,19698.98308,201680.0648
06/08/2021,169769.4,196989.8308,19698.98308,201680.0648
06/08/2021,141474.5,196989.8308,19698.98308,201680.0648
06/08/2021,143426.8481,196989.8308,19698.98308,201680.0648
06/08/2021,138645.01,196989.8308,19698.98308,201680.0648
06/08/2021,125742.5356,196989.8308,19698.98308,201680.0648
06/08/2021,135815.52,196989.8308,19698.98308,201680.0648
06/08/2021,125884.0101,196989.8308,19698.98308,201680.0648
06/08/2021,127327.05,196989.8308,19698.98308,201680.0648
06/08/2021,126619.6775,196989.8308,19698.98308,201680.0648
06/08/2021,127298.7551,196989.8308,19698.98308,201680.0648
06/08/2021,131458.1054,196989.8308,19698.98308,201680.0648
06/08/2021,127327.05,196989.8308,19698.98308,201680.0648
